Date,Open,High,Low,Close,Adj Close,Volume,Days
2020-02-14,47.119999,47.150002,44.68,44.689999,44.689999,21569300,222
2020-02-18,44.59,45.43,44.07,45.099998,45.099998,8393100,223
2020-02-19,45.259998,46.330002,44.439999,46.240002,46.240002,7439100,224
2020-02-20,46,46.759998,44.578999,45.470001,45.470001,8489100,225
2020-02-21,45.23,45.560001,44.529999,44.700001,44.700001,4305700,226
2020-02-24,42.09,42.610001,41,42.52,42.52,11644600,227
2020-02-25,43.34,44.18,41.599998,41.82,41.82,11628300,228
2020-02-26,41.919998,42.16,39.310001,39.860001,39.860001,12062400,229
2020-02-27,37.619999,39.5,35,37.779999,37.779999,14781800,230
2020-02-28,36.009998,38.119999,35.860001,38.119999,38.119999,9356600,231
2020-03-02,38.490002,38.490002,36.099998,36.91,36.91,11296300,232
2020-03-03,37.310001,38.23,35.209999,36.970001,36.970001,10440900,233
2020-03-04,38.119999,41.299999,37.439999,40.27,40.27,14959900,234
2020-03-05,38.735001,39.470001,36.57,37.080002,37.080002,11190300,235
2020-03-06,35.990002,37.98,35.459999,36.02,36.02,9436000,236
2020-03-09,32.490002,34.650002,31.639999,32.810001,32.810001,8987200,237
2020-03-10,34.150002,34.641998,30.606001,32.889999,32.889999,9774800,238
2020-03-11,31.49,31.799999,26.683001,29.01,29.01,19837300,239
2020-03-12,24.370001,26.4,23.870001,23.879999,23.879999,13630900,240
2020-03-13,25.5,25.59,22.636,24.17,24.17,12495000,241
2020-03-16,20.200001,21.4,18.809999,19.120001,19.120001,14451100,242
2020-03-17,19.379999,20.57,16.5,18.66,18.66,18864800,243
2020-03-18,17.16,17.870001,14.562,16.049999,16.049999,16577200,244
2020-03-19,16.299999,21.98,15.32,20.700001,20.700001,20139200,245
2020-03-20,22.379999,24.860001,20.75,21.27,21.27,17599300,246
2020-03-23,20.733999,22.799999,19.139999,22.610001,22.610001,10885100,247
2020-03-24,24.58,27.42,23.49,27.059999,27.059999,12634400,248
2020-03-25,27.389999,30.92,26.530001,27.950001,27.950001,14107700,249
2020-03-26,28.559999,30.67,27.950001,29.940001,29.940001,9461800,250
2020-03-27,28.24,29.15,26.93,27.6,27.6,10169000,251
2020-03-30,26.809999,28.389999,25.299999,26.92,26.92,8729500,252
2020-03-31,26.700001,28,26.200001,26.85,26.85,5773200,253
2020-04-01,25.6,26.110001,23.379999,23.5,23.5,8898400,254
2020-04-02,23.030001,24.049999,21.620001,22.450001,22.450001,11528200,255
2020-04-03,22.440001,23.030001,20.84,22,22,7375600,256
2020-04-06,23.65,25.959999,23.34,25.73,25.73,9557300,257
2020-04-07,28.120001,29.76,26.360001,27.5,27.5,13303100,258
2020-04-08,28.35,29.780001,27.299999,29.639999,29.639999,8914400,259
2020-04-09,30.280001,32.299999,29.809999,30.33,30.33,11335800,260
2020-04-13,30.280001,31.190001,29.030001,30.66,30.66,6697400,261
2020-04-14,31.23,32.18,29.74,30.5,30.5,5713400,262
2020-04-15,29.27,29.450001,28.27,28.389999,28.389999,6825200,263
2020-04-16,28.450001,28.700001,27.014999,27.139999,27.139999,6881400,264
2020-04-17,28.83,29.969999,28.23,29.07,29.07,8437400,265
2020-04-20,28.200001,30.299999,28.01,30.1,30.1,6190400,266
2020-04-21,29.959999,30.43,28.799999,29.25,29.25,5670000,267
2020-04-22,29.799999,30.85,29.120001,30.700001,30.700001,4311000,268
2020-04-23,30.940001,31.780001,30.040001,30.09,30.09,5174200,269
2020-04-24,30.51,31.99,29.83,31.959999,31.959999,4926500,270
2020-04-27,32.27,34.84,32.02,34.32,34.32,9839300,271
2020-04-28,35,35.110001,32.419998,32.740002,32.740002,7842500,272
2020-04-29,33.73,34.709999,33.060001,34.060001,34.060001,6245200,273
2020-04-30,33.450001,34.369999,32.419998,32.830002,32.830002,4624500,274
2020-05-01,31.219999,31.889999,29.35,29.605,29.605,7339100,275
2020-05-04,28.780001,29,26.27,27.030001,27.030001,13393000,276
2020-05-05,27.799999,28.440001,26.551001,26.68,26.68,10336200,277
